id,name,account_id,project_id,environment_id,created_at,updated_at,layer,source,modulo,subject_area,model,execute_steps,settings
669853,AGOS_L1_O_REC_REEEFINCVE [[AGOS_L1_O_REC_REEEFINCVE]],702,12990,58598,2026-06-09 14:15:52.327512+00:00,2026-07-24 12:59:28.420788+00:00,L1,OCS,XRE,,REEEFINCVE,"[""dbt build --select +reeefincve""]","{""threads"": 2, ""target_name"": ""default""}"
669854,AGOS_L1_O_CON_PLCHSCES [[AGOS_L1_O_CON_PLCHSCES]],702,12990,58598,2026-06-09 14:15:52.518776+00:00,2026-06-30 09:37:29.871344+00:00,L1,OCS,CON,,PLCHSCES,"[""dbt build --select +plchsces""]","{""threads"": 2, ""target_name"": ""default""}"
669855,AGOS_L2_PRODOTTO_M_CONSUMO_M [[AGOS_L2_PRODOTTO_M_CONSUMO_M]],702,12990,58598,2026-06-09 14:15:52.746648+00:00,2026-06-30 09:38:28.695874+00:00,L2,,,PRODOTTO_M,CONSUMO_M,"[""dbt build --select consumo_m""]","{""threads"": 2, ""target_name"": ""default""}"
669856,AGOS_L1_O_ANA_CCANATNN [[AGOS_L1_O_ANA_CCANATNN]],702,12990,58598,2026-06-09 14:15:52.965013+00:00,2026-06-30 09:37:23.398896+00:00,L1,OCS,ANA,,CCANATNN,"[""dbt build --select +ccanatnn""]","{""threads"": 2, ""target_name"": ""default""}"
669857,AGOS_L1_O_CAR_CATBFTAD [[AGOS_L1_O_CAR_CATBFTAD]],702,12990,58598,2026-06-09 14:15:53.160965+00:00,2026-06-30 09:37:50.873889+00:00,L1,OCS,CAR,,CATBFTAD,"[""dbt build --select +catbftad""]","{""threads"": 2, ""target_name"": ""default""}"
669858,AGOS_L1_O_FMP_OXPPFPPR [[AGOS_L1_O_FMP_OXPPFPPR]],702,12990,58598,2026-06-09 14:15:53.345926+00:00,2026-07-24 12:55:14.938146+00:00,L1,OCS,XFM,,OXPPFPPR,"[""dbt build --select +oxppfppr""]","{""threads"": 2, ""target_name"": ""default""}"
669859,AGOS_L1_O_SDS_OXDRFPRA [[AGOS_L1_O_SDS_OXDRFPRA]],702,12990,58598,2026-06-09 14:15:53.546081+00:00,2026-06-30 09:35:36.383917+00:00,L1,OCS,SDS,,OXDRFPRA,"[""dbt build --select +oxdrfpra""]","{""threads"": 2, ""target_name"": ""default""}"
669860,AGOS_L1_O_WFL_WFISFAT [[AGOS_L1_O_WFL_WFISFAT]],702,12990,58598,2026-06-09 14:15:53.756524+00:00,2026-06-30 09:34:45.360415+00:00,L1,OCS,WFL,,WFISFAT,"[""dbt build --select +wfisfat""]","{""threads"": 2, ""target_name"": ""default""}"
669861,AGOS_L1_O_EFF_GAEFARC [[AGOS_L1_O_EFF_GAEFARC]],702,12990,58598,2026-06-09 14:15:53.962051+00:00,2026-07-24 12:55:55.374885+00:00,L1,OCS,XEF,,GAEFARC,"[""dbt build --select +gaefarc""]","{""threads"": 2, ""target_name"": ""default""}"
669862,AGOS_L1_E_FEA_TBLANAGRAFICA [[AGOS_L1_E_FEA_TBLANAGRAFICA]],702,12990,58598,2026-06-09 14:15:54.194434+00:00,2026-06-30 09:37:38.025616+00:00,L1,FEA,,,TBLANAGRAFICA,"[""dbt build --select +tblanagrafica""]","{""threads"": 2, ""target_name"": ""default""}"
669863,AGOS_L1_O_CQS_CQPSFDAPS [[AGOS_L1_O_CQS_CQPSFDAPS]],702,12990,58598,2026-06-09 14:15:54.418719+00:00,2026-07-24 12:57:31.044635+00:00,L1,OCS,XCQ,,CQPSFDAPS,"[""dbt build --select +cqpsfdaps""]","{""threads"": 2, ""target_name"": ""default""}"
669864,AGOS_L1_O_SDS_OXDRFQUE62 [[AGOS_L1_O_SDS_OXDRFQUE62]],702,12990,58598,2026-06-09 14:15:54.666508+00:00,2026-06-30 09:37:14.981046+00:00,L1,OCS,SDS,,OXDRFQUE62,"[""dbt build --select +oxdrfque62""]","{""threads"": 2, ""target_name"": ""default""}"
669865,AGOS_L1_O_INC_CCBONITCA [[AGOS_L1_O_INC_CCBONITCA]],702,12990,58598,2026-06-09 14:15:54.898304+00:00,2026-06-30 09:38:31.038117+00:00,L1,OCS,INC,,CCBONITCA,"[""dbt build --select +ccbonitca""]","{""threads"": 2, ""target_name"": ""default""}"
669866,AGOS_L1_O_FMP_OXPSFRIO [[AGOS_L1_O_FMP_OXPSFRIO]],702,12990,58598,2026-06-09 14:15:55.115796+00:00,2026-06-30 09:35:52.722051+00:00,L1,OCS,FMP,,OXPSFRIO,"[""dbt build --select +oxpsfrio""]","{""threads"": 2, ""target_name"": ""default""}"
